nome,abandonou_carrinho,realizou_compra,valor_compra,canal_origem,categoria_interesse,abriu_email,clicou_em_link
pessoa83,0,1,995.91,Facebook,Notebooks,0.0,0.0
pessoa11,0,1,993.35,E-mail,Notebooks,0.0,0.0
pessoa30,0,1,982.74,Google Ads,Periféricos,1.0,0.0
pessoa66,1,1,962.02,Google Ads,Acessórios,1.0,0.0
pessoa158,1,1,953.92,Facebook,Notebooks,1.0,0.0
pessoa46,0,1,940.37,E-mail,Notebooks,1.0,0.0
pessoa58,1,1,939.85,Orgânico,Acessórios,0.0,0.0
pessoa121,1,1,933.35,Facebook,Periféricos,1.0,0.0
pessoa60,0,1,930.61,Google Ads,Notebooks,1.0,0.0
pessoa25,0,1,923.17,Orgânico,Periféricos,1.0,0.0
pessoa41,1,1,894.96,E-mail,Acessórios,0.0,1.0
pessoa24,1,1,890.22,Google Ads,Notebooks,1.0,0.0
pessoa92,1,1,870.09,Orgânico,Notebooks,1.0,0.0
pessoa132,0,1,869.54,Facebook,Notebooks,1.0,0.0
pessoa59,0,1,853.65,Instagram,Periféricos,1.0,0.0
pessoa50,1,1,829.31,Instagram,Notebooks,1.0,1.0
pessoa150,0,1,782.58,Orgânico,Notebooks,0.0,0.0
pessoa128,1,1,779.82,Google Ads,Periféricos,0.0,1.0
pessoa13,0,1,757.43,Orgânico,Smartphones,0.0,0.0
pessoa71,0,1,731.4,E-mail,Notebooks,1.0,0.0
pessoa145,0,1,725.13,Orgânico,Smartphones,1.0,1.0
pessoa198,0,1,719.26,Google Ads,Smartphones,1.0,0.0
pessoa163,1,1,711.98,Facebook,Periféricos,0.0,1.0
pessoa183,0,1,709.41,Google Ads,Periféricos,1.0,0.0
pessoa184,0,1,693.08,Instagram,Notebooks,1.0,1.0
pessoa67,1,1,692.71,Orgânico,Notebooks,1.0,0.0
pessoa86,1,1,667.79,Facebook,Periféricos,1.0,0.0
pessoa126,0,1,658.92,Orgânico,Notebooks,1.0,0.0
pessoa179,0,1,639.32,Facebook,Periféricos,1.0,1.0
pessoa53,0,1,579.8,Google Ads,Periféricos,1.0,0.0
pessoa89,0,1,545.88,Orgânico,Smartphones,1.0,0.0
pessoa29,0,1,519.07,E-mail,Smartphones,0.0,0.0
pessoa109,0,1,486.8,Instagram,Notebooks,0.0,1.0
pessoa119,1,1,481.63,Instagram,Smartphones,0.0,1.0
pessoa187,0,1,480.68,Instagram,Periféricos,1.0,1.0
pessoa157,0,1,430.97,Google Ads,Periféricos,0.0,0.0
pessoa28,0,1,411.6,E-mail,Acessórios,1.0,1.0
pessoa1,0,1,407.18,E-mail,Notebooks,1.0,1.0
pessoa125,0,1,402.57,Orgânico,Acessórios,0.0,1.0
pessoa94,0,1,391.95,Facebook,Periféricos,1.0,1.0
pessoa196,0,1,384.2,Instagram,Acessórios,0.0,0.0
pessoa38,1,1,376.94,Orgânico,Periféricos,1.0,0.0
pessoa96,1,1,349.54,Facebook,Acessórios,0.0,0.0
pessoa3,1,1,336.02,Orgânico,Periféricos,0.0,1.0
pessoa173,1,1,295.31,Instagram,Periféricos,0.0,1.0
pessoa135,0,1,281.0,Google Ads,Notebooks,0.0,0.0
pessoa149,0,1,273.21,Orgânico,Smartphones,0.0,0.0
pessoa137,1,1,256.77,Google Ads,Periféricos,1.0,1.0
pessoa45,1,1,254.9,Instagram,Smartphones,1.0,0.0
pessoa43,0,1,237.59,Facebook,Periféricos,0.0,1.0
pessoa181,1,1,1985.05,Google Ads,Periféricos,1.0,0.0
pessoa93,1,1,198.22,Google Ads,Notebooks,0.0,0.0
pessoa72,1,1,1974.72,Orgânico,Notebooks,1.0,1.0
pessoa87,0,1,1951.93,E-mail,Smartphones,1.0,1.0
pessoa10,0,1,1938.27,Instagram,Periféricos,1.0,0.0
pessoa171,1,1,1932.59,Facebook,Periféricos,0.0,0.0
pessoa31,1,1,1930.15,E-mail,Periféricos,1.0,1.0
pessoa26,0,1,1925.48,Instagram,Smartphones,1.0,0.0
pessoa127,1,1,1910.03,Instagram,Smartphones,1.0,1.0
pessoa112,0,1,1907.94,E-mail,Acessórios,0.0,0.0
pessoa120,0,1,1888.35,Instagram,Notebooks,1.0,1.0
pessoa162,1,1,1876.88,Facebook,Notebooks,0.0,0.0
pessoa133,0,1,1832.49,Instagram,Smartphones,0.0,0.0
pessoa116,0,1,1828.1,Orgânico,Periféricos,1.0,0.0
pessoa78,1,1,1802.82,Facebook,Periféricos,1.0,0.0
pessoa140,0,1,178.25,Orgânico,Periféricos,0.0,1.0
pessoa22,0,1,1779.05,Orgânico,Notebooks,1.0,1.0
pessoa91,0,1,1776.81,E-mail,Notebooks,1.0,0.0
pessoa7,1,1,177.43,Orgânico,Smartphones,1.0,1.0
pessoa178,0,1,1749.43,Orgânico,Acessórios,1.0,0.0
pessoa122,1,1,1742.01,E-mail,Smartphones,0.0,0.0
