nome,abandonou_carrinho,realizou_compra,valor_compra
pessoa96,0,1,995.91
pessoa16,0,1,993.35
pessoa31,0,1,982.74
pessoa159,1,1,962.02
pessoa129,1,1,953.92
pessoa116,0,1,940.37
pessoa70,1,1,939.85
pessoa171,1,1,933.35
pessoa175,0,1,930.61
pessoa46,0,1,923.17
pessoa67,1,1,894.96
pessoa183,1,1,890.22
pessoa166,0,1,884.76
pessoa79,1,1,870.09
pessoa187,0,1,869.54
pessoa178,0,1,853.65
pessoa57,1,1,829.31
pessoa153,0,1,782.58
pessoa83,1,1,779.82
pessoa69,1,1,777.79
pessoa125,0,1,757.43
pessoa17,0,1,731.4
pessoa149,0,1,725.13
pessoa94,0,1,719.26
pessoa66,1,1,711.98
pessoa61,0,1,709.41
pessoa85,0,1,693.08
pessoa68,1,1,692.71
pessoa126,1,1,667.79
pessoa133,0,1,658.92
pessoa10,0,1,639.32
pessoa19,0,1,579.8
pessoa56,0,1,545.88
pessoa76,0,1,519.07
pessoa151,0,1,487.03
pessoa105,0,1,486.8
pessoa136,1,1,481.63
pessoa138,0,1,480.68
pessoa165,0,1,430.97
pessoa77,0,1,411.6
pessoa80,0,1,407.18
pessoa198,0,1,402.57
pessoa39,0,1,391.95
pessoa25,0,1,384.2
pessoa123,1,1,376.94
pessoa196,1,1,349.54
pessoa30,1,1,336.02
pessoa20,0,1,333.64
pessoa144,1,1,295.31
pessoa87,0,1,281.0
pessoa115,0,1,273.21
pessoa174,1,1,256.77
pessoa6,1,1,254.9
pessoa127,0,1,237.59
pessoa118,1,1,1985.05
pessoa74,1,1,198.22
pessoa141,1,1,1974.72
pessoa99,0,1,1951.93
pessoa173,0,1,1938.27
pessoa97,1,1,1932.59
pessoa170,1,1,1930.15
pessoa98,0,1,1925.48
pessoa32,1,1,1910.03
pessoa13,0,1,1907.94
pessoa36,1,1,1902.31
pessoa120,0,1,1888.35
pessoa43,1,1,1876.88
pessoa190,0,1,1832.49
pessoa91,0,1,1828.1
pessoa137,1,1,1802.82
pessoa52,0,1,178.25
pessoa128,0,1,1779.05
pessoa163,0,1,1776.81
pessoa42,1,1,177.43
pessoa119,0,1,1749.43
pessoa114,1,1,1742.01
pessoa27,0,1,1730.17
pessoa140,1,1,1728.98
pessoa101,0,1,1707.87
pessoa112,0,1,1696.86
pessoa3,1,1,1688.4
pessoa78,0,1,164.96
pessoa47,1,1,1613.92
pessoa188,0,1,1606.62
pessoa192,0,1,1588.5
pessoa86,1,1,1574.4
pessoa162,0,1,1574.03
pessoa37,0,1,155.85
pessoa191,0,1,1538.41
pessoa62,1,1,1517.09
pessoa23,0,1,1514.13
pessoa142,0,1,1497.17
pessoa102,0,1,1476.4
pessoa34,1,1,1476.14
pessoa12,0,1,1458.36
pessoa195,1,1,1392.87
pessoa160,0,1,1371.84
pessoa7,0,1,1355.56
pessoa28,1,1,1348.27
pessoa121,0,1,1344.52
pessoa5,0,1,1341.2
pessoa33,0,1,134.9
pessoa143,1,1,1339.03
pessoa146,0,1,1337.89
pessoa110,0,1,133.94
pessoa145,0,1,1316.01
