nome,canal_origem,categoria_interesse,abriu_email,clicou_em_link
pessoa96,Facebook,Acessórios,0,0
pessoa16,Google Ads,Smartphones,1,0
pessoa31,E-mail,Periféricos,1,1
pessoa159,Orgânico,Smartphones,0,0
pessoa129,Google Ads,Smartphones,1,1
pessoa116,Orgânico,Periféricos,1,0
pessoa70,Facebook,Notebooks,1,1
pessoa171,Facebook,Periféricos,0,0
pessoa175,Instagram,Notebooks,1,1
pessoa46,E-mail,Notebooks,1,0
pessoa67,Orgânico,Notebooks,1,0
pessoa183,Google Ads,Periféricos,1,0
pessoa166,Facebook,Notebooks,1,0
pessoa79,Instagram,Acessórios,1,1
pessoa187,Instagram,Periféricos,1,1
pessoa178,Orgânico,Acessórios,1,0
pessoa57,Facebook,Notebooks,1,1
pessoa153,E-mail,Smartphones,0,0
pessoa83,Facebook,Notebooks,0,0
pessoa69,Orgânico,Acessórios,1,0
pessoa125,Orgânico,Acessórios,0,1
pessoa17,Facebook,Periféricos,1,0
pessoa149,Orgânico,Smartphones,0,0
pessoa94,Facebook,Periféricos,1,1
pessoa66,Google Ads,Acessórios,1,0
pessoa61,Facebook,Notebooks,1,0
pessoa85,Facebook,Smartphones,0,0
pessoa68,Orgânico,Notebooks,1,0
pessoa126,Orgânico,Notebooks,1,0
pessoa133,Instagram,Smartphones,0,0
pessoa10,Instagram,Periféricos,1,0
pessoa19,Google Ads,Notebooks,1,0
pessoa56,Instagram,Acessórios,0,0
pessoa76,Facebook,Notebooks,1,1
pessoa151,Orgânico,Smartphones,0,0
pessoa105,Instagram,Smartphones,0,0
pessoa136,Instagram,Smartphones,1,0
pessoa138,Google Ads,Periféricos,0,0
pessoa165,Google Ads,Notebooks,1,0
pessoa77,Facebook,Periféricos,1,1
pessoa80,Orgânico,Periféricos,1,0
pessoa198,Google Ads,Smartphones,1,0
pessoa39,Instagram,Smartphones,1,0
pessoa25,Orgânico,Periféricos,1,0
pessoa123,Orgânico,Notebooks,1,1
pessoa196,Instagram,Acessórios,0,0
pessoa30,Google Ads,Periféricos,1,0
pessoa20,Instagram,Notebooks,1,0
pessoa144,Orgânico,Smartphones,0,0
pessoa87,E-mail,Smartphones,1,1
pessoa115,E-mail,Notebooks,1,0
pessoa174,Facebook,Acessórios,1,1
pessoa6,Instagram,Smartphones,1,0
pessoa127,Instagram,Smartphones,1,1
pessoa118,Facebook,Smartphones,0,0
pessoa74,Facebook,Notebooks,0,0
pessoa141,Facebook,Periféricos,1,0
pessoa99,Orgânico,Smartphones,1,1
pessoa173,Instagram,Periféricos,0,1
pessoa97,Orgânico,Acessórios,1,0
pessoa170,Facebook,Smartphones,0,1
pessoa98,Instagram,Smartphones,0,0
pessoa32,Orgânico,Acessórios,0,1
pessoa13,Orgânico,Smartphones,0,0
pessoa36,Facebook,Periféricos,1,1
pessoa120,Instagram,Notebooks,1,1
pessoa43,Facebook,Periféricos,0,1
pessoa190,Instagram,Notebooks,1,0
pessoa91,E-mail,Notebooks,1,0
pessoa137,Google Ads,Periféricos,1,1
pessoa52,Google Ads,Periféricos,0,0
pessoa128,Google Ads,Periféricos,0,1
pessoa163,Facebook,Periféricos,0,1
pessoa42,E-mail,Acessórios,0,0
pessoa119,Instagram,Smartphones,0,1
pessoa114,Orgânico,Notebooks,1,0
pessoa27,Instagram,Periféricos,0,1
pessoa140,Orgânico,Periféricos,0,1
pessoa101,Instagram,Periféricos,0,0
pessoa112,E-mail,Acessórios,0,0
pessoa3,Orgânico,Periféricos,0,1
pessoa78,Facebook,Periféricos,1,0
pessoa47,Instagram,Periféricos,0,0
pessoa188,Instagram,Smartphones,0,0
pessoa192,Orgânico,Acessórios,1,0
pessoa86,Facebook,Periféricos,1,0
pessoa162,Facebook,Notebooks,0,0
pessoa37,E-mail,Notebooks,0,0
pessoa191,Facebook,Notebooks,0,0
pessoa62,Facebook,Acessórios,1,0
pessoa23,Facebook,Acessórios,1,0
pessoa142,Google Ads,Notebooks,1,0
pessoa102,E-mail,Periféricos,1,0
pessoa34,Instagram,Acessórios,0,0
pessoa12,Orgânico,Notebooks,1,0
pessoa195,Instagram,Notebooks,1,1
pessoa160,E-mail,Periféricos,0,0
pessoa7,Orgânico,Smartphones,1,1
pessoa28,E-mail,Acessórios,1,1
pessoa121,Facebook,Periféricos,1,0
pessoa5,Orgânico,Notebooks,1,1
pessoa33,Facebook,Notebooks,0,1
pessoa143,Instagram,Periféricos,1,0
pessoa146,Instagram,Acessórios,0,0
pessoa110,Orgânico,Smartphones,1,1
pessoa145,Orgânico,Smartphones,1,1
pessoa11,E-mail,Notebooks,0,0
pessoa63,E-mail,Acessórios,0,1
pessoa113,Facebook,Smartphones,0,1
pessoa147,Orgânico,Acessórios,0,1
pessoa167,Instagram,Acessórios,0,1
pessoa1,E-mail,Notebooks,1,1
pessoa199,E-mail,Smartphones,1,0
